post_id,account_id,account_age_days,follower_count,following_count,timestamp,text
122,user_0054,500,2010,191,2026-08-10T07:28:37.405492,studying for finals is rough this semester
19,user_0010,786,901,739,2026-08-10T09:20:30.494355,coffee shop downtown has the best pastries
92,user_0042,619,2812,1149,2026-08-10T14:10:05.696889,"went for a long walk, needed to clear my head"
34,user_0017,337,2728,516,2026-08-10T15:51:05.974678,trying out a new recipe for dinner tonight
35,user_0018,1335,346,526,2026-08-10T17:12:37.261177,"beautiful sunset today, had to take a picture"
73,user_0032,735,1104,335,2026-08-10T17:29:10.537869,traffic was insane on the highway this morning
46,user_0024,1152,689,996,2026-08-10T18:19:53.104426,"excited for the weekend, finally some rest"
25,user_0012,546,1490,754,2026-08-10T19:23:24.174794,coffee shop downtown has the best pastries
70,user_0031,1770,2653,989,2026-08-10T20:08:54.052872,can't believe how expensive groceries have gotten
26,user_0013,1233,197,990,2026-08-10T21:14:08.969371,"went for a long walk, needed to clear my head"
93,user_0042,619,2812,1149,2026-08-10T23:27:18.158730,"new episode of my favorite show dropped, so good"
115,user_0051,2151,99,279,2026-08-10T23:57:40.562444,"went for a long walk, needed to clear my head"
45,user_0023,442,2515,400,2026-08-11T01:14:54.187241,"beautiful sunset today, had to take a picture"
87,user_0038,776,2590,377,2026-08-11T01:49:06.172224,"new episode of my favorite show dropped, so good"
3,user_0000,606,122,613,2026-08-11T02:26:31.943280,studying for finals is rough this semester
11,user_0004,280,142,241,2026-08-11T02:55:54.630405,"started reading a new book, really enjoying it so far"
51,user_0027,379,958,115,2026-08-11T04:30:02.841436,coffee shop downtown has the best pastries
102,user_0045,797,1878,56,2026-08-11T04:33:57.082926,my internet has been so slow all week
78,user_0035,1785,1502,499,2026-08-11T07:03:16.617307,finally fixed my laptop after weeks of trying
15,user_0007,1868,922,969,2026-08-11T07:28:56.410081,"went for a long walk, needed to clear my head"
8,user_0003,506,2438,914,2026-08-11T10:13:05.787624,finally fixed my laptop after weeks of trying
131,user_0059,1784,2771,814,2026-08-11T10:53:11.326808,"went for a long walk, needed to clear my head"
116,user_0052,1636,1279,540,2026-08-11T12:30:50.658028,can't believe how expensive groceries have gotten
124,user_0055,665,545,1023,2026-08-11T12:36:09.637938,trying out a new recipe for dinner tonight
47,user_0025,1704,1125,1190,2026-08-11T13:18:28.759633,my internet has been so slow all week
85,user_0038,776,2590,377,2026-08-11T13:35:06.150657,studying for finals is rough this semester
61,user_0029,421,884,694,2026-08-11T14:13:11.644473,"went for a long walk, needed to clear my head"
64,user_0030,1020,2704,1072,2026-08-11T14:46:49.165977,studying for finals is rough this semester
17,user_0009,1881,1413,619,2026-08-11T15:06:36.044881,studying for finals is rough this semester
126,user_0056,826,1105,1130,2026-08-11T18:09:18.966403,my internet has been so slow all week
117,user_0052,1636,1279,540,2026-08-11T19:04:34.972535,"started reading a new book, really enjoying it so far"
6,user_0002,569,2791,1166,2026-08-11T19:44:42.785229,trying out a new recipe for dinner tonight
27,user_0013,1233,197,990,2026-08-11T20:54:15.843215,"excited for the weekend, finally some rest"
